Time_in_sec,gx,gy,gz
1322932432.72053003,-0.08981178,0.05076105,-0.99466435
1322932432.77256823,-0.08985257,0.05077666,-0.99465986
1322932432.82055998,-0.08986995,0.05065070,-0.99466472
1322932432.87367177,-0.09004931,0.05056259,-0.99465298
1322932432.91365027,-0.08971330,0.05047880,-0.99468760
1322932432.97366166,-0.08968054,0.05039053,-0.99469503
1322932433.02051830,-0.08950832,0.05051806,-0.99470407
1322932433.07365441,-0.08973970,0.05019807,-0.99469942
1322932433.12165475,-0.08957367,0.05019853,-0.99471436
1322932433.16200399,-0.08946862,0.05012851,-0.99472735
1322932433.22065878,-0.08933525,0.05018835,-0.99473632
1322932433.27365184,-0.08927730,0.05001560,-0.99475022
1322932433.32155585,-0.08930494,0.04986796,-0.99475515
1322932433.37366700,-0.08936366,0.04983928,-0.99475132
1322932433.41367865,-0.08938753,0.04957182,-0.99476254
1322932433.47367930,-0.08929347,0.04947738,-0.99477569
1322932433.52167797,-0.08910434,0.04934653,-0.99479914
1322932433.57368660,-0.08920575,0.04922152,-0.99479625
1322932433.62165260,-0.08921712,0.04922703,-0.99479496
1322932433.66156459,-0.08941532,0.04940089,-0.99476854
1322932433.72156072,-0.08919145,0.04940873,-0.99478825
1322932433.77265811,-0.08928246,0.04939232,-0.99478090
1322932433.82065368,-0.08918944,0.04931586,-0.99479304
1322932433.87356186,-0.08922986,0.04949993,-0.99478027
1322932433.91366386,-0.08913958,0.04913893,-0.99480626
1322932433.97265220,-0.08919670,0.04894333,-0.99481079
1322932434.02064919,-0.08936521,0.04887244,-0.99479915
1322932434.07367325,-0.08923083,0.04862033,-0.99482356
1322932434.11366129,-0.08917253,0.04844602,-0.99483730
1322932434.16064501,-0.08915858,0.04827372,-0.99484692
1322932434.22064424,-0.08915894,0.04819212,-0.99485084
1322932434.27366233,-0.08891208,0.04804625,-0.99487999
1322932434.32085133,-0.08876095,0.04788921,-0.99490106
1322932434.37367702,-0.08894502,0.04816056,-0.99487152
1322932434.41353559,-0.08873855,0.04787062,-0.99490395
1322932434.47365737,-0.08870410,0.04798226,-0.99490165
1322932434.52110124,-0.08854767,0.04792543,-0.99491832
1322932434.57264876,-0.08838614,0.04795699,-0.99493116
1322932434.62167764,-0.08826110,0.04802373,-0.99493904
1322932434.66159678,-0.08843019,0.04771056,-0.99493910
1322932434.72155738,-0.08799615,0.04775320,-0.99497553
1322932434.77265429,-0.08812594,0.04762597,-0.99497014
1322932434.82064223,-0.08827067,0.04777668,-0.99495009
1322932434.87264562,-0.08825208,0.04767300,-0.99495671
1322932434.91266036,-0.08837658,0.04772012,-0.99494340
1322932434.97259736,-0.08826573,0.04781490,-0.99494869
1322932435.02065229,-0.08810906,0.04758449,-0.99497362
1322932435.07264614,-0.08812767,0.04765638,-0.99496853
1322932435.12164378,-0.08812834,0.04759282,-0.99497152
1322932435.16224480,-0.08813166,0.04745094,-0.99497800
1322932435.22165537,-0.08801944,0.04742328,-0.99498925
1322932435.27254200,-0.08806508,0.04729693,-0.99499123
1322932435.32166433,-0.08804966,0.04733146,-0.99499095
1322932435.37265468,-0.08773975,0.04753839,-0.99500846
1322932435.41366887,-0.08773193,0.04755665,-0.99500828
1322932435.47264028,-0.08740542,0.04746452,-0.99504141
1322932435.52167559,-0.08754978,0.04735260,-0.99503405
1322932435.57265806,-0.08761354,0.04774304,-0.99500978
1322932435.62168145,-0.08753057,0.04760256,-0.99502382
1322932435.66069341,-0.08736972,0.04752205,-0.99504180
1322932435.72165847,-0.08752790,0.04752144,-0.99502793
1322932435.77257061,-0.08742210,0.04770394,-0.99502850
1322932435.82165241,-0.08733156,0.04763201,-0.99503989
1322932435.87255383,-0.08705130,0.04744397,-0.99507344
1322932435.91264820,-0.08701090,0.04722995,-0.99508715
1322932435.97265768,-0.08683486,0.04722691,-0.99510267
1322932436.02170086,-0.08694255,0.04721687,-0.99509374
1322932436.07264686,-0.08683467,0.04746003,-0.99509160
1322932436.12167549,-0.08641773,0.04745486,-0.99512814
1322932436.16167450,-0.08653578,0.04737466,-0.99512170
1322932436.22170424,-0.08642700,0.04726070,-0.99513657
1322932436.27355599,-0.08646162,0.04709886,-0.99514124
1322932436.32164669,-0.08633228,0.04743854,-0.99513633
1322932436.37370110,-0.08628714,0.04735307,-0.99514432
1322932436.41270661,-0.08608679,0.04750822,-0.99515428
1322932436.47265244,-0.08583004,0.04745489,-0.99517900
1322932436.52065992,-0.08575924,0.04755891,-0.99518014
1322932436.57364583,-0.08593260,0.04774917,-0.99515607
1322932436.62064123,-0.08579055,0.04784831,-0.99516356
1322932436.66086388,-0.08593448,0.04765327,-0.99516051
1322932436.72064686,-0.08582743,0.04762439,-0.99517113
1322932436.77261209,-0.08580112,0.04775210,-0.99516727
1322932436.82065296,-0.08561498,0.04775583,-0.99518313
1322932436.87270045,-0.08562168,0.04753856,-0.99519295
1322932436.91264844,-0.08581880,0.04759519,-0.99517327
1322932436.97258663,-0.08597932,0.04736396,-0.99517044
1322932437.02131867,-0.08578779,0.04758196,-0.99517657
1322932437.07367706,-0.08587745,0.04759722,-0.99516811
1322932437.12061501,-0.08556634,0.04746071,-0.99520143
1322932437.16164684,-0.08550053,0.04752958,-0.99520380
1322932437.22075725,-0.08569340,0.04753131,-0.99518713
1322932437.27257109,-0.08592551,0.04766738,-0.99516060
1322932437.32114577,-0.08604310,0.04754363,-0.99515636
1322932437.37257171,-0.08611298,0.04754351,-0.99515033
1322932437.41364908,-0.08607772,0.04761384,-0.99515001
1322932437.47268009,-0.08619567,0.04758645,-0.99514111
1322932437.52064133,-0.08606276,0.04765336,-0.99514942
1322932437.57264328,-0.08603629,0.04763945,-0.99515237
1322932437.62168241,-0.08586425,0.04741045,-0.99517816
1322932437.66167498,-0.08579028,0.04728330,-0.99519059
1322932437.72154140,-0.08594502,0.04725729,-0.99517848
1322932437.77278447,-0.08619509,0.04715285,-0.99516180
1322932437.82167411,-0.08618160,0.04713819,-0.99516367
1322932437.87364745,-0.08632028,0.04730407,-0.99514378
1322932437.91368127,-0.08639513,0.04731297,-0.99513686
1322932437.97360420,-0.08630971,0.04716809,-0.99515115
1322932438.02167130,-0.08654501,0.04724678,-0.99512698
1322932438.07264471,-0.08654034,0.04714044,-0.99513243
1322932438.12064552,-0.08647663,0.04688947,-0.99514982
1322932438.16130304,-0.08622199,0.04656285,-0.99518725
1322932438.22064495,-0.08627204,0.04650975,-0.99518540
1322932438.27365637,-0.08639916,0.04655324,-0.99517234
1322932438.32167029,-0.08650589,0.04658069,-0.99516178
1322932438.37265515,-0.08650875,0.04647210,-0.99516661
1322932438.41267633,-0.08634645,0.04625460,-0.99519084
1322932438.47264719,-0.08622974,0.04629551,-0.99519905
1322932438.52157855,-0.08635542,0.04615504,-0.99519468
1322932438.57266116,-0.08646302,0.04617501,-0.99518441
1322932438.62168074,-0.08645476,0.04623819,-0.99518220
1322932438.66165733,-0.08644684,0.04607564,-0.99519042
1322932438.72058368,-0.08619127,0.04610749,-0.99521112
1322932438.77264595,-0.08617741,0.04566025,-0.99523294
1322932438.82054949,-0.08605121,0.04563188,-0.99524516
1322932438.87365890,-0.08625481,0.04569527,-0.99522462
1322932438.91358185,-0.08597278,0.04543614,-0.99526089
1322932438.97009540,-0.08577250,0.04554655,-0.99527312
1322932439.02154613,-0.08574430,0.04547115,-0.99527900
1322932439.07269120,-0.08584345,0.04534740,-0.99527610
1322932439.12064695,-0.08558414,0.04515973,-0.99530696
1322932439.16180730,-0.08552591,0.04493081,-0.99532233
1322932439.22065711,-0.08540253,0.04518367,-0.99532148
1322932439.27266216,-0.08561561,0.04519204,-0.99530279
1322932439.32065034,-0.08523435,0.04506609,-0.99534122
1322932439.37264895,-0.08523813,0.04501189,-0.99534335
1322932439.41360569,-0.08510125,0.04517625,-0.99534762
1322932439.47373080,-0.08511678,0.04540900,-0.99533570
1322932439.52065110,-0.08500784,0.04554861,-0.99533863
1322932439.57274795,-0.08500151,0.04564099,-0.99533494
1322932439.62168193,-0.08479329,0.04556021,-0.99535640
1322932439.66215205,-0.08476587,0.04537415,-0.99536724
1322932439.72064710,-0.08463452,0.04521600,-0.99538561
1322932439.77367425,-0.08481989,0.04531807,-0.99536519
1322932439.82167435,-0.08483517,0.04538949,-0.99536063
1322932439.87371230,-0.08485189,0.04538947,-0.99535921
1322932439.91366291,-0.08490974,0.04525576,-0.99536036
1322932439.97364998,-0.08514478,0.04501896,-0.99535102
1322932440.02165532,-0.08537762,0.04473853,-0.99534372
1322932440.07271290,-0.08539903,0.04485820,-0.99533650
1322932440.12167883,-0.08532335,0.04472250,-0.99534910
1322932440.16165853,-0.08502741,0.04482563,-0.99536978
1322932440.22165012,-0.08491022,0.04470433,-0.99538524
1322932440.27252150,-0.08460074,0.04466164,-0.99541351
1322932440.32054257,-0.08460392,0.04487065,-0.99540384
1322932440.37265468,-0.08469111,0.04458205,-0.99540939
1322932440.41365194,-0.08484773,0.04437262,-0.99540541
1322932440.47270131,-0.08486612,0.04420343,-0.99541137
1322932440.52064872,-0.08489978,0.04431347,-0.99540361
1322932440.57372594,-0.08507318,0.04422607,-0.99539269
1322932440.62153816,-0.08475175,0.04405023,-0.99542791
1322932440.66168427,-0.08459733,0.04422266,-0.99543340
1322932440.72075105,-0.08474458,0.04422026,-0.99542098
1322932440.77264428,-0.08463731,0.04388780,-0.99544482
1322932440.82164907,-0.08458638,0.04396589,-0.99544570
1322932440.87264538,-0.08448931,0.04412373,-0.99544696
1322932440.91366196,-0.08437292,0.04419303,-0.99545376
1322932440.97265649,-0.08408822,0.04408042,-0.99548284
1322932441.02156138,-0.08381205,0.04417420,-0.99550197
1322932441.07265353,-0.08402033,0.04400053,-0.99549211
1322932441.11257720,-0.08404028,0.04393485,-0.99549333
1322932441.16168690,-0.08404521,0.04390465,-0.99549424
1322932441.22052431,-0.08388928,0.04387127,-0.99550887
1322932441.27257895,-0.08374385,0.04413394,-0.99550950
1322932441.31364942,-0.08353701,0.04448405,-0.99551129
1322932441.37365294,-0.08333798,0.04445792,-0.99552914
1322932441.41366029,-0.08335317,0.04443652,-0.99552883
1322932441.47364974,-0.08310354,0.04452689,-0.99554566
1322932441.52150393,-0.08292033,0.04456366,-0.99555929
1322932441.57268786,-0.08310634,0.04448218,-0.99554742
1322932441.61253619,-0.08313324,0.04464776,-0.99553777
1322932441.66066003,-0.08303016,0.04466459,-0.99554561
1322932441.72064257,-0.08305507,0.04476036,-0.99553923
1322932441.77264595,-0.08285134,0.04460576,-0.99556315
1322932441.82052946,-0.08251463,0.04454729,-0.99559373
1322932441.87265468,-0.08235070,0.04446638,-0.99561092
1322932441.91364837,-0.08213890,0.04436082,-0.99563312
1322932441.97264385,-0.08218321,0.04439063,-0.99562814
1322932442.02154160,-0.08186707,0.04429934,-0.99565825
1322932442.07262254,-0.08206190,0.04418555,-0.99564727
1322932442.12088799,-0.08196417,0.04459598,-0.99563702
1322932442.16201711,-0.08196341,0.04458886,-0.99563740
1322932442.22201300,-0.08176332,0.04453980,-0.99565605
1322932442.27363062,-0.08157304,0.04431296,-0.99568178
1322932442.32166314,-0.08166503,0.04431796,-0.99567401
1322932442.37264562,-0.08178696,0.04459183,-0.99565178
1322932442.41375875,-0.08153404,0.04431186,-0.99568502
1322932442.47265601,-0.08162308,0.04420798,-0.99568234
1322932442.52065396,-0.08190450,0.04408172,-0.99566483
1322932442.57264209,-0.08196932,0.04431160,-0.99564929
1322932442.62140751,-0.08199787,0.04447089,-0.99563984
1322932442.66166162,-0.08211223,0.04429629,-0.99563820
1322932442.72049856,-0.08212372,0.04436057,-0.99563439
1322932442.77258825,-0.08222663,0.04435301,-0.99562623
1322932442.82056022,-0.08199903,0.04426590,-0.99564888
1322932442.87255049,-0.08173592,0.04415704,-0.99567535
1322932442.91261029,-0.08167557,0.04398468,-0.99568793
1322932442.97356057,-0.08174733,0.04412761,-0.99567571
1322932443.02054691,-0.08179426,0.04411353,-0.99567248
1322932443.07266927,-0.08195901,0.04415908,-0.99565692
1322932443.12066674,-0.08204161,0.04417782,-0.99564928
1322932443.16075015,-0.08210345,0.04422577,-0.99564206
1322932443.22052431,-0.08215339,0.04417193,-0.99564033
1322932443.27264667,-0.08213868,0.04410016,-0.99564472
1322932443.32064676,-0.08237883,0.04427330,-0.99561720
1322932443.37265396,-0.08256474,0.04436887,-0.99559754
1322932443.41263652,-0.08250322,0.04430130,-0.99560565
1322932443.47358561,-0.08247746,0.04425328,-0.99560992
1322932443.52054906,-0.08264132,0.04412202,-0.99560216
1322932443.57359004,-0.08275423,0.04417105,-0.99559061
1322932443.62161016,-0.08287972,0.04409913,-0.99558336
1322932443.66166329,-0.08268446,0.04406373,-0.99560116
1322932443.72065854,-0.08261967,0.04405351,-0.99560699
1322932443.77264190,-0.08255766,0.04384526,-0.99562133
1322932443.82064295,-0.08241488,0.04372171,-0.99563859
1322932443.87362266,-0.08269340,0.04368756,-0.99561699
1322932443.91378593,-0.08240360,0.04386497,-0.99563322
1322932443.97368407,-0.08249212,0.04410061,-0.99561548
1322932444.02167344,-0.08269124,0.04380686,-0.99561193
1322932444.07368851,-0.08288581,0.04381352,-0.99559546
1322932444.12155819,-0.08280938,0.04371435,-0.99560618
1322932444.16166639,-0.08258971,0.04369304,-0.99562536
1322932444.22055268,-0.08243661,0.04355111,-0.99564427
1322932444.27371216,-0.08224538,0.04362078,-0.99565703
1322932444.32067227,-0.08191835,0.04382334,-0.99567510
1322932444.37369990,-0.08175078,0.04368543,-0.99569493
1322932444.41255403,-0.08172512,0.04342914,-0.99570825
1322932444.47366285,-0.08167733,0.04343507,-0.99571191
1322932444.52164817,-0.08159679,0.04310006,-0.99573307
1322932444.57370710,-0.08172010,0.04307538,-0.99572403
1322932444.62159753,-0.08183398,0.04313575,-0.99571206
1322932444.66168761,-0.08174667,0.04314538,-0.99571882
1322932444.72164416,-0.08162351,0.04310124,-0.99573083
1322932444.77264738,-0.08165944,0.04312838,-0.99572671
1322932444.82064915,-0.08157572,0.04331970,-0.99572527
1322932444.87265515,-0.08146004,0.04318691,-0.99574050
1322932444.91357660,-0.08147079,0.04311533,-0.99574273
1322932444.97366643,-0.08164347,0.04290386,-0.99573772
1322932445.02054548,-0.08146849,0.04291329,-0.99575164
1322932445.07252121,-0.08139882,0.04300569,-0.99575335
1322932445.12052727,-0.08166131,0.04296439,-0.99573364
1322932445.16167974,-0.08185784,0.04279202,-0.99572493
1322932445.22168207,-0.08177528,0.04283844,-0.99572972
1322932445.27266693,-0.08178332,0.04282357,-0.99572970
1322932445.32065845,-0.08134371,0.04278585,-0.99576733
1322932445.37296867,-0.08149849,0.04279947,-0.99575409
1322932445.41367126,-0.08159534,0.04299973,-0.99573753
1322932445.47265649,-0.08155123,0.04278278,-0.99575049
1322932445.52156782,-0.08141055,0.04255043,-0.99577195
1322932445.57264352,-0.08130808,0.04209401,-0.99579972
1322932445.62165880,-0.08103691,0.04218067,-0.99581816
1322932445.66166234,-0.08124794,0.04189883,-0.99581286
1322932445.72064757,-0.08125030,0.04190787,-0.99581229
1322932445.77292323,-0.08102314,0.04198792,-0.99582743
1322932445.82065701,-0.08103914,0.04165560,-0.99584008
1322932445.87264347,-0.08140380,0.04168708,-0.99580902
1322932445.91364980,-0.08126361,0.04161821,-0.99582335
1322932445.97263980,-0.08116156,0.04152311,-0.99583565
1322932446.02156663,-0.08110484,0.04157105,-0.99583827
1322932446.07266021,-0.08129474,0.04145907,-0.99582745
1322932446.12060666,-0.08131732,0.04151299,-0.99582336
1322932446.16169596,-0.08132181,0.04152844,-0.99582235
1322932446.22174430,-0.08118692,0.04152433,-0.99583353
1322932446.27253795,-0.08085104,0.04158062,-0.99585850
1322932446.32068849,-0.08086922,0.04144590,-0.99586264
1322932446.37265515,-0.08088569,0.04161305,-0.99585434
1322932446.41372061,-0.08066504,0.04145557,-0.99587880
1322932446.47264481,-0.08041741,0.04139509,-0.99590134
1322932446.52065134,-0.08002556,0.04133515,-0.99593540
1322932446.57264757,-0.08008111,0.04125924,-0.99593408
1322932446.62154341,-0.07985556,0.04131704,-0.99594979
1322932446.66167188,-0.07981841,0.04141400,-0.99594874
1322932446.72054553,-0.07973921,0.04161315,-0.99594679
1322932446.77387643,-0.07956323,0.04157440,-0.99596248
1322932446.82055712,-0.07924300,0.04166565,-0.99598420
1322932446.87252927,-0.07939262,0.04178318,-0.99596736
1322932446.91370130,-0.07919356,0.04182152,-0.99598160
1322932446.97265935,-0.07909257,0.04169851,-0.99599478
1322932447.02140784,-0.07911321,0.04163694,-0.99599572
1322932447.07264996,-0.07895509,0.04151610,-0.99601331
1322932447.12051940,-0.07903922,0.04131487,-0.99601500
1322932447.16170001,-0.07925228,0.04144412,-0.99599270
1322932447.22170353,-0.07911124,0.04148735,-0.99600211
1322932447.27265310,-0.07896106,0.04149144,-0.99601386
1322932447.32055950,-0.07874275,0.04165885,-0.99602416
1322932447.37264371,-0.07861226,0.04156780,-0.99603827
1322932447.41265583,-0.07867393,0.04176808,-0.99602502
1322932447.47251749,-0.07889930,0.04176118,-0.99600748
1322932447.52064061,-0.07861724,0.04168881,-0.99603282
1322932447.57266116,-0.07877786,0.04169346,-0.99601993
1322932447.62053871,-0.07885939,0.04142311,-0.99602476
1322932447.66169786,-0.07886724,0.04119359,-0.99603366
1322932447.72055840,-0.07879963,0.04122311,-0.99603779
1322932447.77355552,-0.07888267,0.04076863,-0.99604992
1322932447.82169580,-0.07859032,0.04077908,-0.99607260
1322932447.87256169,-0.07853997,0.04061291,-0.99608336
1322932447.91265130,-0.07844243,0.04096571,-0.99607660
1322932447.97264481,-0.07830273,0.04091232,-0.99608979
1322932448.02170610,-0.07816597,0.04092137,-0.99610016
1322932448.07251358,-0.07821126,0.04096787,-0.99609469
1322932448.12574911,-0.07826884,0.04087902,-0.99609382
1322932448.16672873,-0.07826721,0.04082985,-0.99609596
1322932448.22065473,-0.07788502,0.04071771,-0.99613051
1322932448.26973438,-0.07777887,0.04065679,-0.99614129
1322932448.32064915,-0.07775219,0.04064983,-0.99614366
